"","x","y","z"
"189",605.5,105.5,2.73378944396973
"190",705.5,105.5,2.99083113670349
"191",805.5,105.5,3.13227581977844
"192",905.5,105.5,3.29737901687622
"193",1005.5,105.5,3.3269054889679
"194",1105.5,105.5,3.48371696472168
"195",1205.5,105.5,3.65092420578003
"196",1305.5,105.5,3.81427431106567
"197",5.5,5.5,1.61297619342804
"198",105.5,5.5,1.76657032966614
"199",205.5,5.5,1.97652220726013
"200",305.5,5.5,2.18538212776184
"201",405.5,5.5,2.357666015625
"202",505.5,5.5,2.55307149887085
"203",605.5,5.5,2.74732732772827
"204",705.5,5.5,2.95905518531799
"205",805.5,5.5,3.08246064186096
"206",905.5,5.5,3.25392389297485
"207",1005.5,5.5,3.36565399169922
"208",1105.5,5.5,3.51391077041626
"209",1205.5,5.5,3.58349061012268
"210",1305.5,5.5,3.75099325180054
